,Bathrooms,Street,LandSlope,OverallQual,OverallCond,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,HeatingQC,CentralAir,Electrical,BedroomAbvGr,KitchenAbvGr,KitchenQual,Functional,Fireplaces,FireplaceQu,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,SalePrice,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,UnfBsmtRat,MasVnrType_BrkFace,MasVnrType_Stone,Exterior_AsbShng,Exterior_AsphShn,Exterior_BrkComm,Exterior_BrkFace,Exterior_CBlock,Exterior_CemntBd,Exterior_CmentBd,Exterior_HdBoard,Exterior_ImStucc,Exterior_MetalSd,Exterior_Plywood,Exterior_Stone,Exterior_Stucco,Exterior_VinylSd,Exterior_Wd Sdng,Exterior_WdShing,RoofStyle_Gable,RoofStyle_Gambrel,RoofStyle_Hip,RoofStyle_Mansard,RoofStyle_Shed,RoofMatl_CompShg,RoofMatl_Membran,RoofMatl_Metal,RoofMatl_Roll,RoofMatl_Tar&Grv,RoofMatl_WdShake,RoofMatl_WdShngl,LandContour_HLS,LandContour_Low,LandContour_Lvl,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,UnfSqFtRatio,Age,IsNew,Renovated,GarageAge,HasPool
10,2.5,10.0,10.0,5,5,1.0,4.0,5.5,4.0,7.0,10.0,10.0,10.0,4.375,4.0,4.0,10.0,1.0,5.5,1.0,2.8,3.3225806451612905,5.5,5.5,10.0,11.771436160121729,0,0,0,0,1,2.1596153846153845,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,7.532258064516129,1.0,1.0,7.508928571428571,1.0
11,5.5,10.0,10.0,9,5,2.6087499999999997,10.0,5.5,10.0,7.0,10.0,10.0,10.0,5.5,4.0,10.0,10.0,5.5,7.75,10.0,6.4,5.451612903225806,5.5,5.5,10.0,12.751299696013497,0,0,1,0,0,2.355744680851064,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,1.2903225806451613,1.0,10.0,6.383928571428571,1.0
12,2.5,10.0,10.0,5,6,1.0,4.0,5.5,4.0,7.0,5.5,10.0,10.0,3.25,4.0,4.0,10.0,1.0,5.5,1.0,2.8,3.129032258064516,5.5,5.5,10.0,11.877568578558138,0,0,0,0,1,2.7269736842105265,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,7.967741935483871,1.0,1.0,7.589285714285714,1.0
13,2.5,10.0,10.0,7,5,2.72125,7.0,5.5,7.0,7.0,10.0,10.0,10.0,4.375,4.0,7.0,10.0,3.25,7.75,5.5,6.4,6.080645161290323,5.5,5.5,10.0,12.540757571577291,1,0,0,0,0,10.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,1.2903225806451613,1.0,10.0,6.383928571428571,1.0
14,3.25,10.0,10.0,6,5,2.1925,4.0,5.5,4.0,7.0,5.5,10.0,10.0,3.25,4.0,4.0,10.0,3.25,3.25,5.5,2.8,3.129032258064516,5.5,5.5,10.0,11.964001084330445,1,0,0,0,0,4.735035913806864,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,8.258064516129032,1.0,1.0,7.642857142857143,1.0
15,1.0,10.0,10.0,7,8,1.0,4.0,5.5,4.0,7.0,10.0,10.0,7.0,3.25,4.0,4.0,10.0,1.0,5.5,1.0,4.6,4.483870967741936,5.5,5.5,10.0,11.790557201568507,0,0,0,0,1,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,2.161290322580645,1.0,10.0,6.785714285714286,1.0
16,2.5,10.0,10.0,6,7,2.0125,4.0,5.5,4.0,7.0,10.0,10.0,10.0,3.25,4.0,4.0,10.0,3.25,5.5,10.0,4.6,3.903225806451613,5.5,5.5,10.0,11.911701584927597,1,0,0,0,0,4.818725099601593,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,7.096774193548387,1.0,1.0,7.428571428571429,1.0
17,2.5,10.0,10.0,4,5,1.0,4.0,5.5,4.0,7.0,5.5,10.0,10.0,3.25,7.0,4.0,10.0,1.0,5.5,1.0,4.6,4.120967741935484,5.5,5.5,10.0,11.407564949312402,0,0,0,1,0,5.95568386098707,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1.0,6.951612903225806,1.0,1.0,7.401785714285714,1.0
18,3.25,10.0,10.0,5,5,1.0,4.0,5.5,4.0,7.0,10.0,10.0,10.0,4.375,4.0,7.0,10.0,1.0,5.5,1.0,4.6,4.483870967741936,5.5,5.5,10.0,11.976659481202368,0,0,0,0,1,4.780969479353681,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,1.870967741935484,1.0,1.0,6.464285714285714,1.0
19,1.0,10.0,10.0,5,6,1.0,4.0,5.5,4.0,7.0,5.5,10.0,10.0,4.375,4.0,4.0,8.5,1.0,5.5,1.0,2.8,2.778225806451613,5.5,5.5,10.0,11.842229212112828,1,0,0,0,0,5.591836734693878,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,7.67741935483871,1.0,10.0,7.723214285714286,1.0
20,4.75,10.0,10.0,8,5,3.1375,7.0,5.5,10.0,7.0,10.0,10.0,10.0,5.5,4.0,7.0,10.0,3.25,7.75,5.5,6.4,6.159274193548387,5.5,5.5,10.0,12.692503112461443,0,0,1,0,0,10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,1.2903225806451613,1.0,10.0,6.383928571428571,1.0
21,1.0,10.0,10.0,7,7,1.0,4.0,5.5,4.0,7.0,10.0,10.0,4.0,4.375,4.0,7.0,10.0,3.25,7.75,1.0,2.8,2.693548387096774,5.5,5.5,1.0,11.845102777308561,1,0,0,0,0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1.0,9.564516129032258,1.0,10.0,8.419642857142858,1.0
22,2.5,10.0,10.0,8,5,2.580625,7.0,5.5,7.0,7.0,10.0,10.0,10.0,4.375,4.0,7.0,10.0,3.25,7.75,5.5,4.6,4.22983870967742,5.5,5.5,10.0,12.345834587905333,1,0,0,0,0,10.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,2.161290322580645,1.0,1.0,6.517857142857143,1.0
23,2.5,10.0,10.0,5,7,1.0,4.0,5.5,7.0,7.0,5.5,10.0,10.0,4.375,4.0,4.0,10.0,3.25,5.5,1.0,4.6,4.459677419354838,5.5,5.5,10.0,11.77452020265869,1,0,0,0,0,2.730769230769231,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,5.790322580645161,1.0,1.0,7.1875,1.0
24,2.5,10.0,10.0,5,8,1.0,4.0,7.75,4.0,7.0,10.0,10.0,10.0,4.375,4.0,7.0,10.0,3.25,5.5,1.0,2.8,2.633064516129032,5.5,5.5,10.0,11.944707881395766,1,0,0,0,0,2.7320754716981135,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,2.596774193548387,1.0,10.0,7.482142857142857,1.0
25,2.5,10.0,10.0,8,5,4.6,7.0,5.5,7.0,7.0,10.0,10.0,10.0,4.375,4.0,7.0,10.0,3.25,7.75,5.5,6.4,6.383064516129032,5.5,5.5,10.0,12.454103912352162,1,0,0,0,0,10.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,1.5806451612903225,1.0,1.0,6.410714285714286,1.0
26,1.75,10.0,10.0,5,7,1.0,4.0,5.5,4.0,7.0,5.5,10.0,10.0,4.375,4.0,7.0,10.0,1.0,5.5,1.0,4.6,4.483870967741936,5.5,5.5,10.0,11.811547477460344,0,0,0,0,1,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,2.741935483870968,1.0,10.0,6.491071428571429,1.0
27,4.0,10.0,10.0,8,5,2.125,7.0,5.5,10.0,7.0,10.0,10.0,10.0,4.375,4.0,7.0,10.0,3.25,7.75,5.5,6.4,5.669354838709677,5.5,5.5,10.0,12.631340380934517,1,0,0,0,0,3.5669014084507045,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,1.5806451612903225,1.0,10.0,6.410714285714286,1.0
28,2.5,10.0,10.0,5,6,1.0,4.0,5.5,4.0,7.0,5.5,10.0,10.0,3.25,4.0,4.0,10.0,5.5,7.75,5.5,2.8,2.929435483870968,5.5,5.5,10.0,12.24288661865289,1,0,0,0,0,2.2553908355795147,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,2.596774193548387,1.0,10.0,7.669642857142857,1.0
29,1.0,10.0,10.0,4,6,1.0,4.0,5.5,4.0,7.0,3.25,1.0,10.0,2.125,4.0,1.0,10.0,1.0,5.5,1.0,2.8,2.4516129032258065,3.25,5.5,10.0,11.134589024250317,0,0,0,0,1,10.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,9.709677419354838,1.0,10.0,8.714285714285715,1.0
30,1.0,10.0,10.0,4,4,1.0,4.0,3.25,4.0,7.0,5.5,1.0,10.0,4.375,4.0,4.0,10.0,1.0,5.5,1.0,2.8,2.5120967741935485,5.5,3.25,1.0,10.596634733096073,0,0,0,0,1,10.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,9.709677419354838,1.0,10.0,8.714285714285715,1.0
31,1.75,10.0,10.0,5,6,1.0,4.0,5.5,4.0,7.0,7.75,10.0,10.0,4.375,4.0,7.0,10.0,1.0,5.5,1.0,2.8,2.6391129032258065,5.5,5.5,10.0,11.914047823644255,1,0,0,0,0,10.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1.5806451612903225,1.0,10.0,7.482142857142857,1.0
32,2.5,10.0,10.0,8,5,1.0,7.0,5.5,10.0,7.0,10.0,10.0,10.0,4.375,4.0,7.0,10.0,1.0,5.5,5.5,4.6,3.9274193548387095,5.5,5.5,10.0,12.100156419938624,1,0,0,0,0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,1.435483870967742,1.0,1.0,6.383928571428571,1.0
33,2.5,10.0,10.0,5,5,1.0,4.0,5.5,4.0,7.0,7.75,10.0,10.0,5.5,4.0,7.0,10.0,3.25,7.75,5.5,4.6,3.7036290322580645,5.5,5.5,10.0,12.016726473799254,1,0,0,0,0,3.446351931330472,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,8.693548387096774,1.0,1.0,7.723214285714286,1.0
34,4.0,10.0,10.0,9,5,2.38375,10.0,5.5,10.0,7.0,10.0,10.0,10.0,3.25,4.0,10.0,10.0,3.25,7.75,10.0,4.6,4.362903225806452,5.5,5.5,10.0,12.533576212168626,1,0,0,0,0,3.352338244714926,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,1.5806451612903225,1.0,1.0,6.410714285714286,1.0
35,4.75,10.0,10.0,8,5,1.7425000000000002,7.0,5.5,10.0,7.0,10.0,10.0,10.0,5.5,4.0,7.0,10.0,3.25,7.75,10.0,6.4,5.179435483870968,5.5,5.5,10.0,12.641096555879882,0,0,1,0,0,10.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,1.435483870967742,1.0,10.0,6.410714285714286,1.0
36,1.75,10.0,10.0,5,5,1.0,4.0,5.5,7.0,7.0,10.0,10.0,10.0,4.375,4.0,4.0,10.0,1.0,5.5,1.0,4.6,5.064516129032258,5.5,5.5,10.0,11.884489021402711,1,0,0,0,0,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,3.3225806451612905,1.0,10.0,6.732142857142857,1.0
37,1.75,10.0,10.0,5,6,4.65625,4.0,5.5,4.0,7.0,7.75,10.0,10.0,4.375,4.0,4.0,10.0,3.25,5.5,10.0,4.6,4.012096774193548,5.5,5.5,10.0,11.938193200374572,1,0,0,0,0,1.5828835774865073,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,4.048387096774194,1.0,10.0,7.830357142857143,1.0
38,2.5,10.0,10.0,5,7,1.0,4.0,7.75,4.0,7.0,5.5,10.0,10.0,4.375,4.0,7.0,10.0,1.0,5.5,1.0,2.8,2.4879032258064515,5.5,5.5,10.0,11.59910316121128,0,0,0,0,1,3.775780510879849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,1.7258064516129032,1.0,10.0,7.883928571428571,1.0
39,2.5,10.0,10.0,4,5,1.0,4.0,5.5,4.0,7.0,5.5,1.0,1.0,3.25,7.0,1.0,10.0,1.0,5.5,1.0,1.0,1.0,5.5,5.5,1.0,11.314474526246391,0,0,0,0,0,5.95568386098707,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,8.983870967741936,1.0,1.0,7.776785714285714,1.0
40,2.5,10.0,10.0,6,5,1.568125,4.0,5.5,4.0,7.0,10.0,10.0,10.0,4.375,4.0,4.0,10.0,3.25,5.5,5.5,4.6,3.661290322580645,5.5,5.5,10.0,11.982929094215963,1,0,0,0,0,4.681066176470589,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,7.241935483870968,1.0,1.0,7.455357142857143,1.0
41,2.5,10.0,10.0,5,6,1.0,4.0,7.75,4.0,7.0,7.75,10.0,10.0,3.25,4.0,4.0,10.0,5.5,7.75,5.5,2.8,2.8629032258064515,5.5,5.5,5.5,12.043553716032399,1,0,0,0,0,3.5533333333333332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,8.258064516129032,1.0,1.0,7.642857142857143,1.0
42,2.5,10.0,10.0,5,7,1.0,4.0,5.5,7.0,7.0,7.75,10.0,10.0,3.25,4.0,7.0,10.0,1.0,5.5,5.5,4.6,4.048387096774194,5.5,7.75,10.0,11.877568578558138,1,0,0,0,0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,4.774193548387097,1.0,1.0,7.0,1.0
43,2.5,10.0,10.0,5,6,1.0,4.0,5.5,7.0,7.0,5.5,10.0,10.0,4.375,4.0,4.0,10.0,1.0,5.5,1.0,2.8,2.8629032258064515,5.5,5.5,10.0,11.777210959615614,0,0,0,0,1,2.6023454157782515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,5.354838709677419,1.0,10.0,7.1875,1.0
44,2.5,10.0,10.0,5,6,1.0,4.0,5.5,4.0,7.0,10.0,10.0,7.0,4.375,4.0,4.0,10.0,1.0,5.5,5.5,2.8,2.814516129032258,5.5,5.5,10.0,11.856515169360305,1,0,0,0,0,4.639130434782609,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,8.112903225806452,1.0,1.0,7.616071428571429,1.0
45,4.0,10.0,10.0,9,5,3.3175,10.0,5.5,10.0,7.0,10.0,10.0,10.0,3.25,4.0,10.0,10.0,3.25,7.75,5.5,4.6,4.483870967741936,5.5,5.5,10.0,12.675763725937609,1,0,0,0,0,7.657534246575342,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,2.0161290322580645,1.0,1.0,6.491071428571429,1.0
46,3.25,10.0,10.0,7,5,1.0,7.0,5.5,10.0,7.0,10.0,10.0,10.0,2.125,4.0,7.0,10.0,3.25,10.0,5.5,4.6,5.05241935483871,5.5,5.5,10.0,12.387085012375499,1,0,0,0,0,1.5209205020920502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,2.161290322580645,1.0,1.0,6.517857142857143,1.0
47,2.5,10.0,10.0,8,5,1.0,7.0,5.5,7.0,7.0,10.0,10.0,10.0,4.375,4.0,7.0,10.0,1.0,5.5,5.5,6.4,5.995967741935484,5.5,5.5,10.0,12.428015476267865,1,0,0,0,0,9.869565217391305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,1.435483870967742,1.0,1.0,6.383928571428571,1.0
48,2.5,10.0,10.0,4,5,1.0,4.0,5.5,4.0,7.0,7.75,10.0,10.0,3.25,10.0,4.0,10.0,1.0,5.5,1.0,1.0,1.0,5.5,5.5,1.0,11.635143097694478,0,0,0,0,0,10.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0,1.435483870967742,1.0,10.0,8.741071428571429,1.0
49,2.5,10.0,10.0,5,7,1.0,4.0,5.5,4.0,7.0,10.0,10.0,10.0,4.375,4.0,4.0,10.0,1.0,5.5,1.0,2.8,3.3346774193548385,5.5,5.5,10.0,11.751942365440728,1,0,0,0,0,2.809424083769634,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1.0,7.241935483870968,1.0,1.0,7.455357142857143,1.0
50,3.25,10.0,10.0,6,6,1.0,4.0,5.5,7.0,7.0,7.75,10.0,10.0,4.375,4.0,4.0,10.0,1.0,5.5,10.0,4.6,3.346774193548387,5.5,5.5,10.0,12.083905011555967,1,0,0,0,0,7.937027707808564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,2.741935483870968,1.0,1.0,6.625,1.0
51,1.0,10.0,10.0,6,6,1.0,4.0,5.5,4.0,7.0,5.5,10.0,10.0,4.375,4.0,4.0,10.0,3.25,7.75,1.0,4.6,4.193548387096774,5.5,5.5,10.0,11.648330101976432,0,0,0,0,1,10.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7.154960104342489,9.419354838709678,1.0,10.0,6.919642857142857,1.0
52,2.5,1.0,5.5,5,5,1.0,1.0,5.5,7.0,7.0,5.5,1.0,10.0,3.25,4.0,4.0,10.0,1.0,5.5,1.0,4.6,4.120967741935484,5.5,5.5,10.0,11.608235644774552,0,0,0,1,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.0,8.112903225806452,1.0,1.0,7.616071428571429,1.0
